"Name_game","Publisher","Genre","Year_release","Score"
"Jackass the Game","Red Mile Entertainment","Action",2007,5.6
"Jade Empire: Special Edition","2K Games","Role-Playing",2007,7.8
"Jeanne d'Arc","Sony Computer Entertainment","Role-Playing",2007,8.4
"Jenga World Tour","Atari","Misc",2007,2
"Jetpac Refuelled","Microsoft Game Studios","Shooter",2007,8
"Jetpack Joyride","Unknown","Shooter",2007,8.7
"Kane & Lynch: Dead Men","Eidos Interactive","Shooter",2007,6.8
"Kengo: Legend of The 9","Majesco","Fighting",2007,4.8
"Lair","Sony Computer Entertainment","Action",2007,5.5
"Legend of the Dragon","Game Factory","Fighting",2007,2.9
"LEGO Star Wars: The Complete Saga","LucasArts","Action",2007,8
"Link's Crossbow Training","Nintendo","Shooter",2007,6.9
"Looney Tunes: Duck Amuck","Warner Bros. Interactive","Action",2007,6.4
"Lost Planet: Extreme Condition","Capcom","Shooter",2007,7.6
"Luminous Arc","Atlus","Role-Playing",2007,6.8
"Lunar Knights","Konami","Role-Playing",2007,8.2
"Luxor 2","United Developers","Puzzle",2007,5.5
"Madden NFL 08","EA Sports","Sports",2007,8.7
"Major League Baseball 2K7","2K Sports","Sports",2007,6.3
"Manhunt 2","Rockstar Games","Action",2007,5.8
"Mario & Sonic at the Olympic Games","Sega","Sports",2007,7.2
"Mario Party 8","Nintendo","Misc",2007,6.5
"Mario Party DS","Nintendo","Misc",2007,7.1
"Mario Strikers Charged","Nintendo","Sports",2007,7.7
"Mass Effect","Microsoft Game Studios","Role-Playing",2007,9.15
"Medal of Honor Heroes 2","Electronic Arts","Shooter",2007,6.6
"Medieval II: Total War Kingdoms","Sega","Strategy",2007,8.2
"Mega Man ZX Advent","Capcom","Platform",2007,7.6
"Mercury Meltdown Revolution","Ignition Entertainment","Action",2007,8
"Metal Gear Solid: Portable Ops Plus","Konami","Action",2007,6.9
"Meteos: Disney Magic","Disney Interactive Studios","Puzzle",2007,7.3
"Metroid Prime 3: Corruption","Nintendo","Shooter",2007,9.2
"MetropolisMania 2","Natsume","Strategy",2007,4.3
"MLB 07: The Show","Sony Computer Entertainment","Sports",2007,8.1
"MLB Power Pros","2K Sports","Sports",2007,8.5
"Monster Hunter Freedom 2","Capcom","Role-Playing",2007,7.6
"MotoGP '07","THQ","Racing",2007,7.85
"MotorStorm","Sony Computer Entertainment","Racing",2007,8.2
"MX vs. ATV Untamed","THQ","Racing",2007,5.6
"My Spanish Coach","Ubisoft","Misc",2007,7
"MySims","Electronic Arts","Simulation",2007,7.1
"Napoleon Dynamite: The Game","Crave Entertainment","Puzzle",2007,4.3
"Naruto: Rise of a Ninja","Ubisoft","Action",2007,7.8
"Naruto: Ultimate Ninja Heroes (US sales)","Namco Bandai","Fighting",2007,7
"NBA 08","Sony Computer Entertainment","Sports",2007,7.2
"NBA Live 08","Electronic Arts","Sports",2007,6.8
"Need for Speed: ProStreet","Electronic Arts","Racing",2007,7.2
"Neutopia","Hudson Soft","Role-Playing",2007,7.3
"Neverwinter Nights 2: Mask of the Betrayer","Atari","Role-Playing",2007,8
"NiGHTS: Journey of Dreams","Sega","Platform",2007,8.05
"Ninja Gaiden Sigma","Tecmo","Action",2007,8.8
"Odin Sphere","Atlus","Role-Playing",2007,8
"Overlord","Codemasters","Adventure",2007,7.7
"Pac-Man Championship Edition","Namco Bandai","Puzzle",2007,8.5
"Penumbra: Overture","Got Game Entertainment","Adventure",2007,6.9
"PGR4 - Project Gotham Racing 4","Microsoft Game Studios","Racing",2007,8.6
"Phoenix Wright: Ace Attorney - Justice for All","Capcom","Adventure",2007,7.6
"Phoenix Wright: Ace Attorney - Trials and Tribulations","Capcom","Adventure",2007,7.9
"Picross DS","Nintendo","Puzzle",2007,8.4
"Pirates of the Caribbean: At World's End","Disney Interactive Studios","Action",2007,6
"PixelJunk Racers","Sony Computer Entertainment","Racing",2007,5.9
"Planet Puzzle League","Nintendo","Puzzle",2007,8.6
"Plant Tycoon","LDW","Strategy",2007,8.2
"Pocket Pool","Eidos Interactive","Action",2007,3.4
"Pokemon Battle Revolution","Nintendo","Role-Playing",2007,5.2
"Pokemon Diamond / Pearl Version","Nintendo","Role-Playing",2007,8.6
"Prince of Persia Classic","Ubisoft","Platform",2007,8.6
"Prince of Persia: Rival Swords","Ubisoft","Action",2007,7.55
"Pro Evolution Soccer 2008","Konami","Sports",2007,8.2
"Project Sylpheed: Arc of Deception","Microsoft","Shooter",2007,6.7
"Puzzle Quest: Challenge of the Warlords","D3 Publisher","Puzzle",2007,9.1
"Ratatouille","THQ","Platform",2007,7
"Ratchet & Clank Future: Tools of Destruction","Sony Computer Entertainment","Platform",2007,8.9
"Ratchet & Clank: Size Matters","Sony Computer Entertainment","Platform",2007,8.5
"Rayman Raving Rabbids 2","Ubisoft","Misc",2007,6.6
"Resident Evil 4","Ubisoft","Action",2007,8
"Resident Evil 4: Wii Edition","Capcom","Action",2007,9.45
"Resident Evil: The Umbrella Chronicles","Capcom","Shooter",2007,7.75
"Rock Band","MTV Games","Misc",2007,9.1
"Rogue Galaxy","Sony Computer Entertainment","Role-Playing",2007,8.3
"Romance of the Three Kingdoms XI","KOEI","Strategy",2007,7.6
"Rune Factory: A Fantasy Harvest Moon","Natsume","Role-Playing",2007,8.1
"S.T.A.L.K.E.R.: Shadow of Chernobyl","THQ","Shooter",2007,8
"Seven Kingdoms: Conquest","Enlight","Strategy",2007,3.5
"Shadowgrounds Survivor","Meridian4","Shooter",2007,7.3
"Shadowrun (2007)","Microsoft Game Studios","Shooter",2007,6.3
"Sherlock Holmes: The Awakened","Focus Home Interactive","Adventure",2007,6
"Shin Megami Tensei: Persona 3","Atlus","Role-Playing",2007,8.7
"Silent Hill: Origins","Konami","Action",2007,7.8
"Smarty Pants","Electronic Arts","Misc",2007,6.5
"SOCOM: Tactical Strike","Sony Computer Entertainment","Shooter",2007,7.1
"Soldner-X: Himmelssturmer","EastAsiaSoft","Shooter",2007,6.3
"Sonic and the Secret Rings","Sega","Platform",2007,6.7
"Sonic Rivals 2","Sega","Racing",2007,6.4
"SoulCalibur Legends","Namco Bandai","Action",2007,4.8
"Spectrobes","Disney Interactive Studios","Role-Playing",2007,6.2
"SpellForce 2: Dragon Storm","DreamCatcher Interactive","Role-Playing",2007,6
"Spelling Challenges and more!","Crave Entertainment","Misc",2007,4.5
"Spider-Man 3","Activision","Platform",2007,8
"Spider-Man: Friend or Foe","Activision","Action",2007,5.9
"Spy Games: Elevator Mission","Tommo","Shooter",2007,2
"Star Wars Battlefront: Renegade Squadron","LucasArts","Shooter",2007,7.5
"Stranglehold","Midway Games","Shooter",2007,8
"Super Mario Galaxy","Nintendo","Platform",2007,9.65
"Super Paper Mario","Nintendo","Platform",2007,8.5
"Super Stardust HD","Sony Computer Entertainment","Shooter",2007,8.5
"Supreme Commander","THQ","Strategy",2007,8.7
"Supreme Commander: Forged Alliance","THQ","Strategy",2007,8.1
"Surf's Up","Ubisoft","Sports",2007,6.2
"Sword of the Stars: Born of Blood","Lighthouse Interactive","Strategy",2007,7.5
"Syphon Filter: Logan's Shadow","Sony Computer Entertainment","Shooter",2007,8.4
"Tales of the World: Radiant Mythology","Namco Bandai","Role-Playing",2007,7
"Tekken 5: Dark Resurrection","Namco Bandai","Fighting",2007,8.1
"Tenchu Z","Microsoft","Action",2007,5.7
"The BIGS","2K Sports","Sports",2007,7.6
"The Darkness","2K Games","Shooter",2007,8.3
"The Elder Scrolls IV: Oblivion","Bethesda Softworks","Role-Playing",2007,9.3
"The Elder Scrolls IV: Oblivion - Game of the Year Edition","2K Games","Role-Playing",2007,9
"The Elder Scrolls IV: Oblivion - Game of the Year Edition","Bethesda Softworks","Role-Playing",2007,8.5
"The Elder Scrolls IV: Shivering Isles","Bethesda Softworks","Role-Playing",2007,8.9
"The Eye of Judgment","Sony Computer Entertainment","Strategy",2007,7.5
"The Godfather: Blackhand Edition","Electronic Arts","Adventure",2007,7.4
"The Golden Compass","Sega","Adventure",2007,4.4
"The Guild 2: Pirates of the High Seas","DreamCatcher Interactive","Strategy",2007,6.3
"The Legend of Zelda: Phantom Hourglass","Nintendo","Adventure",2007,9.1
"The Mark","DreamCatcher Interactive","Shooter",2007,3
"The Orange Box","Electronic Arts","Shooter",2007,9.7
"The Red Star","XS Games","Action",2007,6.5
"The Simpsons Game","Electronic Arts","Platform",2007,7.5
"The Witcher","Atari","Role-Playing",2007,7.9
"ThreadSpace: Hyperbol","Atari","Strategy",2007,6.5
"Thrillville: Off the Rails","LucasArts","Strategy",2007,8.1
"Tiger Woods PGA Tour 08","Electronic Arts","Sports",2007,7.5
"Time Crisis 4","Namco Bandai","Shooter",2007,6.1
"TimeShift","Sierra Entertainment","Shooter",2007,7
"Titan Quest: Immortal Throne","THQ","Role-Playing",2007,8.3
"TMNT","Ubisoft","Action",2007,3.6
"Tom Clancy's Ghost Recon Advanced Warfighter 2","Ubisoft","Shooter",2007,8.7
"Tomb Raider: Anniversary","Eidos Interactive","Action",2007,7.9
"Tony Hawk's Proving Ground","Activision","Sports",2007,7.2
"TouchMaster","Midway Games","Puzzle",2007,6.9
"Transformers: The Game","Activision","Action",2007,5.2
"Trauma Center: New Blood","Atlus","Simulation",2007,7.5
"Triggerheart Exelica","Warashi","Shooter",2007,6.7
"Two Worlds","SouthPeak Interactive","Role-Playing",2007,7.4
"Ultimate Mortal Kombat","Midway Games","Fighting",2007,7.3
"Uncharted: Drake's Fortune","Sony Computer Entertainment","Action",2007,8.65
"Unreal Tournament III","Midway Games","Shooter",2007,8.6
"Valhalla Knights","Xseed Games","Role-Playing",2007,5.2
"Vampire Rain","AQ Interactive","Action",2007,3.9
"Victorious Boxers: Revolution","Xseed Games","Fighting",2007,5.8
"Virtua Fighter 5","Sega","Fighting",2007,8.7
"Virtua Fighter 5 Online","Sega","Fighting",2007,9.2
"Viva Pinata: Party Animals","Microsoft Game Studios","Misc",2007,5.5
"Warhammer 40,000: Squad Command","THQ","Strategy",2007,6.6
"Warhawk","Sony Computer Entertainment","Shooter",2007,8.4
"WarioWare: Smooth Moves","Nintendo","Puzzle",2007,8.2
"Warriors Orochi","KOEI","Action",2007,6.4
"Wii Play","Nintendo","Misc",2007,5.2
"Wild ARMs 5","Xseed Games","Role-Playing",2007,7.5
"Winning Eleven: Pro Evolution Soccer 2007","Konami","Sports",2007,8.8
"Winx Club: Join the Club","Konami","Platform",2007,3.6
"WordJong","Destineer","Puzzle",2007,7.5
"World in Conflict","Sierra Entertainment","Strategy",2007,9.1
"World of Warcraft: The Burning Crusade","Blizzard Entertainment","MMO",2007,9.2
"Worms: Open Warfare 2","THQ","Strategy",2007,8.1
"WWE SmackDown vs Raw 2008","THQ","Fighting",2007,7.3
"You Are Empty","Atari","Shooter",2007,2.7
"Zack & Wiki: Quest for Barbaros' Treasure","Capcom","Adventure",2007,8.7
"Zoo Tycoon 2: Extinct Animals","Microsoft Game Studios","Strategy",2007,7.6
".hack//G.U. Vol.1//Rebirth","Namco Bandai","Role-Playing",2006,6.6
"1701 A.D.","Aspyr","Simulation",2006,7.7
"Ace Combat X: Skies of Deception","Namco Bandai","Simulation",2006,7.6
"Ace Combat Zero: The Belkan War","Namco","Simulation",2006,7.5
"Act of War: High Treason","Atari","Strategy",2006,6.8
"Alex Rider: Stormbreaker","THQ","Action",2006,4
"Alien Crush","Hudson Soft","Misc",2006,7.3
"Ape Academy 2","Sony Computer Entertainment","Misc",2006,6.4
"Ape Escape 3","Sony Computer Entertainment","Platform",2006,7.8
"Ape Escape Academy","Sony Computer Entertainment","Party",2006,5.3
"Assault Heroes","Sierra Online","Shooter",2006,7.9
"Astonishia Story","Ubisoft","Role-Playing",2006,4.8
"AstroPop","Oberon Media","Puzzle",2006,7.4
"Atelier Iris 2: The Azoth Of Destiny","NIS America","Role-Playing",2006,6.8
"ATV Offroad Fury Pro","Sony Computer Entertainment","Racing",2006,7.6
"Avatar: The Last Airbender","THQ","Adventure",2006,6.5
"Back to Stone","O~3 Entertainment","Role-Playing",2006,5.5
"Barnyard","THQ","Action",2006,5.6
"Baten Kaitos Origins","Nintendo","Role-Playing",2006,7.5
"Battle B-Daman","Atlus","Action",2006,6
"Big Brain Academy","Nintendo","Misc",2006,7.7
"Big Bumpin'","King Games","Action",2006,6.7
"Big Bumpin'","King Games","Racing",2006,6.3
"Bionicle Heroes","Eidos Interactive","Shooter",2006,7.9
"bit Generations: Boundish","Nintendo","Action",2006,4
"bit Generations: Dialhex","Nintendo","Puzzle",2006,7
"bit Generations: Dotstream","Nintendo","Racing",2006,8
"Black","Electronic Arts","Shooter",2006,7.7
"Blast Factor","Sony Computer Entertainment","Shooter",2006,6.4
"Blazing Angels: Squadrons of WWII","Ubisoft","Simulation",2006,7
"Bliss Island","Codemasters","Puzzle",2006,5.7
"Bomberman","Konami","Puzzle",2006,7.3
"Bomberman: Act Zero","Konami","Puzzle",2006,3.5
"Brain Age: Train Your Brain in Minutes a Day","Nintendo","Misc",2006,8.1
"Brothers In Arms: D-Day","Ubisoft","Shooter",2006,6.8
"Bust-A-Move Deluxe","Majesco","Puzzle",2006,7.1
"Call of Duty 3","Activision","Shooter",2006,8.45
"Camp Lazlo: Leaky Lake Games","Crave Entertainment","Action",2006,4
"Capcom Classics Collection Reloaded","Capcom","Misc",2006,7.1
"Capcom Classics Collection Remixed","Capcom","Misc",2006,7.7
"Capcom Classics Mini Mix","Capcom","Misc",2006,6.5
"Cars","THQ","Racing",2006,7.6
"Castlevania Double Pack","Konami","Platform",2006,9
"Castlevania: Portrait of Ruin","Konami","Platform",2006,8.5
"Championship Manager 2006","DTMC","Strategy",2006,7.8
"Charlotte's Web","Sega","Action",2006,6
"Chibi-Robo! Plug into Adventure!","Nintendo","Adventure",2006,7.4
"Children of Mana","Nintendo","Role-Playing",2006,7
"Chromehounds","Sega","Simulation",2006,6.4
"Cloning Clyde","NinjaBee","Platform",2006,7.6
"Clubhouse Games","Nintendo","Misc",2006,8.3
"College Hoops 2K7","2K Sports","Sports",2006,8.2
"Company of Heroes","THQ","Strategy",2006,9.4
"Cooking Mama","Majesco","Simulation",2006,6.6
"Cossacks II Battle for Europe","GSC Game World","Strategy",2006,7.5
"Crystal Quest","Microsoft","Shooter",2006,6.2
"Curious George","Namco","Action",2006,6.6
"Dark Messiah Might and Magic","Ubisoft","Role-Playing",2006,7.3
"Dave Mirra BMX Challenge","Crave Entertainment","Sports",2006,3.5
"Daxter","Sony Computer Entertainment","Platform",2006,8.6
"Dead or Alive Xtreme 2","Tecmo","Sports",2006,5.3
"Dead Rising","Capcom","Action",2006,8.4
"Death Jr. II: Root of Evil","Konami","Platform",2006,6.9
"Deep Sea Tycoon: Diver's Paradise","eGames","Strategy",2006,6.5
"Def Jam Fight For NY: The Takeover","Electronic Arts","Action",2006,8
"Devil May Cry 3: Dante's Awakening Special Edition","Capcom","Action",2006,8.7
"Devil May Cry 3: Dante's Awakening Special Edition","Ubisoft","Action",2006,7.1
"Dig Dug","Namco Bandai","Puzzle",2006,6.7
"Dino Master: Dig Discover Duel","Majesco","Strategy",2006,2.5
"Dirge of Cerberus: Final Fantasy VII","Square Enix","Shooter",2006,5.8
"Disgaea 2: Cursed Memories","NIS America","Role-Playing",2006,7.9
"Disney's American Dragon: Jake Long, Rise of the Huntsclan","Buena Vista","Action",2006,6
"Disney's Chicken Little: Ace in Action","Buena Vista","Shooter",2006,7
"Disney's Chicken Little: Ace In Action","Buena Vista","Shooter",2006,7.6
"Dr. Sudoku","Mastiff","Puzzle",2006,6.7
"Dragon Ball Z: Shin Budokai","Atari","Fighting",2006,7.4
"Dragon Ball: Advanced Adventure","Atari","Action",2006,7.7
"Dragon Quest Heroes: Rocket Slime","Square Enix","Adventure",2006,8.3
"Dreamfall: The Longest Journey","Aspyr","Adventure",2006,7.4
"Drill Dozer","Nintendo","Platform",2006,7.9
"Dynasty Warriors 5 Empires","KOEI","Action",2006,6.4
"EA Replay","Electronic Arts","Action",2006,5
"Elebits","Konami","Action",2006,7.3
"Elite Beat Agents","Nintendo","Misc",2006,8.4
"Empire Earth II: The Art of Supremacy","VU Games","Strategy",2006,5.7
"Enchanted Arms","Ubisoft","Role-Playing",2006,6.9
"Eragon","Sierra Entertainment","Action",2006,6.2
"Eragon","Sierra Entertainment","Role-Playing",2006,7.1
"Excite Truck","Nintendo","Racing",2006,7
"Exit","Ubisoft","Puzzle",2006,7.9
"F.E.A.R.","Vivendi Games","Shooter",2006,8.6
"Family Guy","2K Games","Adventure",2006,5.5
"Far Cry Instincts Predator","Ubisoft","Shooter",2006,8
"Feeding Frenzy","Oberon Media","Puzzle",2006,5.3
"Field Commander","Sony Online Entertainment","Strategy",2006,7.7
"FIFA 07 Soccer","EA Sports","Sports",2006,8
"FIFA 07 Soccer","Electronic Arts","Sports",2006,4.1
"FIFA Street 2","EA Sports BIG","Sports",2006,4.9
"FIFA World Cup Germany 2006","EA Sports","Sports",2006,7.9
"FIFA World Cup: Germany 2006","EA Sports","Sports",2006,4.3
"Fight Night Round 3","EA Sports","Fighting",2006,8.6
"Final Fantasy III","Square Enix","Role-Playing",2006,7.4
"Final Fantasy V Advance","Nintendo","Role-Playing",2006,8.2
"Final Fantasy XI: Treasures of Aht Urhgan","Square Enix","Role-Playing",2006,9
"Final Fantasy XII","Square Enix","Role-Playing",2006,9.45
"Flushed Away","D3 Publisher","Platform",2006,4.3
"Football Manager 2006","Sega","Sports",2006,8.5
"Football Manager 2007","Sega","Sports",2006,8.4
"Foster's Home for Imaginary Friends","Crave Entertainment","Action",2006,5.5
"Frogger","Konami","Action",2006,7.2
"Full Auto","Sega","Racing",2006,7
"Full Auto 2: Battlelines","Sega","Racing",2006,6.7
"Full Spectrum Warrior: Ten Hammers","THQ","Strategy",2006,6.3
"Galaga","Namco Bandai","Shooter",2006,6.5
"Games Explosion!","THQ","Action",2006,4
"Gangs of London","Sony Computer Entertainment","Adventure",2006,5
"Gears of War","Microsoft Game Studios","Shooter",2006,9.4
"Generation of Chaos","NIS America","Role-Playing",2006,5.9
"Genji: Days of the Blade","Sony Computer Entertainment","Action",2006,5
"Go! Sudoku","Ubisoft","Puzzle",2006,6.8
"God Hand","Capcom","Action",2006,7
"Gothic 3","Aspyr","Role-Playing",2006,6.8
"Grand Theft Auto: Vice City Stories","Rockstar Games","Action",2006,8.6
"Grandia III","Square Enix","Role-Playing",2006,7.5
"GT Pro Series","Ubisoft","Racing",2006,3.7
"Guild Wars: Factions","NCSoft","Role-Playing",2006,8.6
"Guild Wars: Nightfall","NCSoft","Role-Playing",2006,8
"Guilty Gear Judgment","Majesco","Fighting",2006,7.5
"Guitar Hero II","RedOctane","Misc",2006,9.2
"Half-Life 2: Episode One","Electronic Arts","Shooter",2006,8.7
"Hannah Montana","Buena Vista","Action",2006,6.5
"Happy Feet","Midway Games","Adventure",2006,5.1
"Hard Rock Casino","Crave Entertainment","Misc",2006,3.8
"Hard West","Unknown","Strategy",2006,6.4
"Harlem Globetrotters: World Tour","DSI Games","Sports",2006,2.7
"Harvest Moon: Magical Melody","Natsume","Simulation",2006,8
"Hearts of Iron II: Doomsday","Paradox Interactive","Strategy",2006,7.5
"Hitman: Blood Money","Eidos Interactive","Action",2006,8.2
"Horsez","Ubisoft","Simulation",2006,4
"Ice Age 2: The Meltdown","Sierra Entertainment","Platform",2006,5.5
"Ice Age 2: The Meltdown","Vivendi Games","Platform",2006,7.4
"Import Tuner Challenge (American sales)","Ubisoft","Racing",2006,6.4
"Jewel Quest","iWin","Puzzle",2006,6.8
"Juiced: Eliminator","THQ","Racing",2006,6.6
"Juka and the Monophonic Menace","SouthPeak Interactive","Adventure",2006,7.2
"Just Cause","Eidos Interactive","Action",2006,7.3
"Justice League Heroes: The Flash","Warner Bros. Interactive","Action",2006,8
"Killzone: Liberation","Sony Computer Entertainment","Shooter",2006,7.8
"Kingdom Hearts II","Square Enix","Role-Playing",2006,8.3
"Kirby Squeak Squad","Nintendo","Platform",2006,7.3
"LEGO Star Wars II: The Original Trilogy","LucasArts","Action",2006,8.4
"Lemmings","Sony Computer Entertainment","Puzzle",2006,7.3
"LMA Manager 2007","Codemasters","Sports",2006,6.7
"LocoRoco","Sony Computer Entertainment","Platform",2006,8.1
"Lumines ll","Buena Vista","Puzzle",2006,8
"Madden NFL 07","EA Sports","Sports",2006,8.5
"Major League Baseball 2K6","2K Sports","Sports",2006,7.4
"Marble Blast Ultra","Microsoft","Puzzle",2006,7.2
"Mario Hoops 3 on 3","Nintendo","Sports",2006,7.1
"Mario vs. Donkey Kong 2: March of the Minis","Nintendo","Puzzle",2006,7.7
"Marvel: Ultimate Alliance","Activision","Role-Playing",2006,8.5
"Mazes of Fate","O3 Entertainment","Role-Playing",2006,6.6
"Me & My Katamari","Namco","Puzzle",2006,7.2
"Medal of Honor Heroes","Electronic Arts","Shooter",2006,6.7
"Medieval II: Total War","Sega","Strategy",2006,8.8
"Mega Man Maverick Hunter X","Capcom","Platform",2006,7.9
"Mega Man Powered Up","Capcom","Platform",2006,8.7
"Mega Man X Collection","Capcom","Misc",2006,7.5
"Mega Man ZX","Capcom","Platform",2006,8.1
"Metal Gear Ac!d 2","Konami","Strategy",2006,8.3
"Metal Gear Solid 3: Subsistence","Konami","Action",2006,9.4
"Metal Gear Solid: Digital Graphic Novel","Konami","Misc",2006,7.6
"Metal Gear Solid: Portable Ops","Konami","Action",2006,8.7
"Metal Saga","Atlus","Role-Playing",2006,6.1
"Metroid Prime Hunters","Nintendo","Shooter",2006,8.4
"MLB 06: The Show","Sony Computer Entertainment","Sports",2006,8.3
"Monster Hunter Freedom","Capcom","Role-Playing",2006,7
"Mortal Kombat: Armageddon","Midway Games","Fighting",2006,7.5
"Mortal Kombat: Unchained","Midway Games","Fighting",2006,7
"MotoGP '06","THQ","Racing",2006,8.3
"MX vs. ATV Unleashed: On the Edge","THQ","Racing",2006,7.3
"N3: Ninety-Nine Nights","Microsoft Game Studios","Action",2006,6.3
"Naruto: Clash of Ninja 2","D3 Publisher","Fighting",2006,7.4
"NASCAR","EA Sports","Racing",2006,7.2
"NBA 07","Sony Computer Entertainment","Sports",2006,6.9
"NBA 2K7","2K Sports","Sports",2006,8.4
"NBA Ballers: Rebound","Midway Games","Sports",2006,7.3
"NBA Live 07","EA Sports","Sports",2006,7
"NCAA Football 07","EA Sports","Sports",2006,8.8
"NCAA Football 07","Electronic Arts","Sports",2006,8.9
"Need for Speed Carbon","Electronic Arts","Racing",2006,7.9
"Need for Speed Carbon: Own the City","Electronic Arts","Racing",2006,7.4
"Neighbours from Hell 2: On Vacation","Cinemaware","Puzzle",2006,6.5
"Neverwinter Nights 2","Atari","Role-Playing",2006,8
"New Rally-X","Namco Bandai","Racing",2006,4.2
"New Super Mario Bros.","Nintendo","Platform",2006,8.6
"NFL Street 3","EA Sports BIG","Sports",2006,6.7
"NHL 07","EA Sports","Sports",2006,8
"NHL 2K7","2K Sports","Sports",2006,8.2
"Odama","Nintendo","Misc",2006,6.5
"Okami","Capcom","Adventure",2006,9.5
"Open Season","Ubisoft","Platform",2006,7.6
"Over G Fighters","Ubisoft","Simulation",2006,5.1
"Over the Hedge","Activision","Platform",2006,7.1
"Pac-Man","Namco Bandai","Puzzle",2006,7
"Phantasy Star Universe","Sega","Role-Playing",2006,6.6
"Pimp My Ride","Activision","Racing",2006,3.8
"Pirates of the Caribbean: Dead Man's Chest","Buena Vista","Adventure",2006,4.3
"Pocket Racers","Konami","Racing",2006,3.8
"PocketBike Racer","King Games","Racing",2006,5.4
"Pokemon Mystery Dungeon: Blue Rescue Team","Nintendo","Role-Playing",2006,6.3
"Pokemon Ranger","Nintendo","Role-Playing",2006,6.6
"Prey","2K Games","Shooter",2006,8.5
"Prince of Persia Trilogy","Ubisoft","Action",2006,8.3
"Pursuit Force","Sony Computer Entertainment","Racing",2006,7.4
"Puzzle Challenge: Crosswords and More!","Crave Entertainment","Puzzle",2006,6.4
"Rayman Raving Rabbids","Ubisoft","Misc",2006,7.5
"Red Steel","Ubisoft","Shooter",2006,6.85
"Reservoir Dogs","Eidos Interactive","Action",2006,5.6
"Resident Evil: Deadly Silence","Capcom","Action",2006,6.7
"Resistance: Fall of Man","Sony Computer Entertainment","Shooter",2006,8.8
"Rise of Nations: Rise of Legends","Microsoft Game Studios","Strategy",2006,8.3
"RoboBlitz","Microsoft","Shooter",2006,6.7
"RoboBlitz","Naked Sky Entertainment","Shooter",2006,7.5
"Rockstar Games presents Table Tennis","Rockstar Games","Sports",2006,8.1
"Rome: Total War Alexander","Sega","Strategy",2006,7.4
"Ruff Trigger: The Vanocore Conspiracy","Natsume","Platform",2006,5.9
"Rule of Rose","Atlus","Action",2006,5.9
"Rumble Roses XX","Konami","Fighting",2006,6.5
"Saints Row","THQ","Action",2006,8
"Samurai Warriors 2","KOEI","Action",2006,5.6
"Samurai Warriors: State of War","KOEI","Action",2006,6.5
"Scarface: Money. Power. Respect.","Sierra Entertainment","Strategy",2006,6.4
"Scramble","Konami","Shooter",2006,5.2
"Sega Genesis Collection","Sega","Misc",2006,8.3
"Shadow Hearts: From The New World","Xseed Games","Role-Playing",2006,7.6
"Shadowgrounds","Meridian4","Shooter",2006,6.8
"Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs the Soulless Army","Atlus","Role-Playing",2006,7.4
"Shonen Jump's One Piece: Pirates Carnival","Namco Bandai","Misc",2006,4.6
"Small Arms","Gastronaut Studios","Action",2006,6.7
"Sneak King","King Games","Action",2006,5.8
"SOCOM: U.S. Navy SEALs Fireteam Bravo 2","Sony Computer Entertainment","Shooter",2006,8.2
"Solomon's Key","Tecmo","Puzzle",2006,7
"Sonic Rivals","Sega","Racing",2006,7
"Sonic the Hedgehog (2006)","Sega","Platform",2006,4.8
"SpellForce 2: Shadow Wars","Aspyr","Strategy",2006,8.2
"Star Fox Command","Nintendo","Shooter",2006,7.2
"Star Trek: Legacy","Bethesda Softworks","Simulation",2006,6.4
"Star Wars: Lethal Alliance","Ubisoft","Adventure",2006,6.3
"Steambot Chronicles","Atlus","Role-Playing",2006,7.2
"Street Fighter Alpha 3 MAX","Capcom","Fighting",2006,7.8
"Street Fighter II' Hyper Fighting","Capcom","Fighting",2006,6.9
"Suikoden V","Konami","Role-Playing",2006,7.9
"Super Monkey Ball: Banana Blitz","Sega","Misc",2006,7.3
"Super Princess Peach","Nintendo","Platform",2006,7.8
"Super Robot Taisen: Original Generation 2","Atlus","Role-Playing",2006,8.4
"Superman Returns","Electronic Arts","Action",2006,5.6
"Syphon Filter: Dark Mirror","Sony Computer Entertainment","Shooter",2006,8.5
"Tales of Eternia","Ubisoft","Role-Playing",2006,8
"Tales of Legendia","Namco","Role-Playing",2006,7.2
"Tales of Phantasia","Nintendo","Role-Playing",2006,7
"Tales of the Abyss","Namco","Role-Playing",2006,8
"Teen Titans 2","Majesco","Action",2006,5
"Tekken: Dark Resurrection","Namco Bandai","Fighting",2006,8.7
"Test Drive Unlimited","Atari","Racing",2006,8
"Tetris DS","Nintendo","Puzzle",2006,8.5
"Texas Hold'em","TikGames","Misc",2006,6.7
"The Ant Bully","Midway Games","Platform",2006,5.2
"The Elder Scrolls IV: Knights of the Nine","Bethesda Softworks","Role-Playing",2006,8.6
"The Godfather: Mob Wars","Electronic Arts","Action",2006,6.2
"The Grim Adventures of Billy & Mandy","Midway Games","Action",2006,7.2
"The Grim Adventures Of Billy & Mandy","Midway Games","Action",2006,6.9
"The History Channel: Civil War - A Nation Divided","Activision","Shooter",2006,5.2
"The Legend of Spyro: A New Beginning","Sierra Entertainment","Platform",2006,7.1
"The Legend of Zelda: Twilight Princess","Nintendo","Adventure",2006,9.55
"The Lord of the Rings: The Battle for Middle-Earth II","Electronic Arts","Strategy",2006,8.2
